,raw_expect,raw_extracted,sim_score
0,Singapore,Singapore,100
1,General Hospital,General Hospital,100
2,SingHealth,SingHee'th,80
3,TAX INVOICE,TAX INVOICE,100
4,ORIGINAL,ORIGINAL,100
5,GST REG NO : M90368910N,GST REG NO : M90368910N,100
6,GNUZBA2 / FB / 22.10.2018 1546 hrs / Page 1 of 2,GNUZBA2 / FB / 22.10.2018 1546 hrs / Page 1 of 2,100
7,Tax Invoice Number:6818337074E0010,Tax Invoice Number:6818337074E0010,100
8,Bill Ref Number,Bill Ref Number,100
9,:6818337074E-0010-01,6818337074E-0010-01,97
10,Tax Invoice Date,Tax Invoice Date,100
11,:22.10.2018 1546 hrs,:22.10.2018 1546 hrs,100
12,Patient NRIC/HRN,Patient NRIC/HRN,100
13,:S,:S,100
14,l,1,0
15,SINGAPORE,SINGAPORE,100
16,Visit Date,Visit Date,100
17,:22.10.2018 1153 hrs,:22.10.2018 1153 hrs,100
18,Visit / Bill Location,Visit / Bill Location,100
19,GCLHAEC/GCLHAEC,GCLHAEC/GCLHAEC/,97
20,Patient : Kumarsanga,Patient : Kumarsanga,100
21,HAE,HAE,100
22,Payment Class,Payment Class,100
23,:PRIVATE,:PRIVATE,100
24,Type of Supply,Type of Supply,100
25,: Cash/Credit,: Cash/Credit,100
26,SERVICE CODE,SERVICE CODE,100
27,QUANTITY,QUANTITY,100
28,AMOUNT(S$),AMOUNT(S$),100
29,DESCRIPTION,DESCRIPTION,100
30,LABORATORY INVESTIGATIONS,LABORATORYINVESTIGATIONS,98
31,Subtotal,Subtotal,100
32,2296.51,2296.51,100
33,HLA03074,HLA03074,100
34,HLA DQB TYPING (PCR INT TO HIGH RES),HLA DQB TYPING (PCR INT TO HIGH RES),100
35,1,1,100
36,243.93,243.93,100
37,HF703102,HF703102,100
38,HANDLING FEE,HANDLING FEE,100
39,1,1,100
40,18.00,18.00,100
41,HLA09027,HLA09027,100
42,HLA ABCDR TYPING (SBT) FOR LOCAL TRANSPLANT,HLA ABCDR TYPING (SBT) FOR LOCAL TRANSPLANT,100
43,1,1,100
44,885.98,885.98,100
45,HF703102,HF703102,100
46,HANDLING FEE,HANDLING FEE,100
47,18.00,18.00,100
48,10009606,10009606,100
49,CREATININE CLEARANCE TEST (CCT),CREATININE CLEARANCE TEST (CCT),100
50,24.90,24.90,100
51,10010709,10010709,100
52,GLUCOSE-6-PHOSPHATE DEHYDROGENAS,GLUCOSE-6-PHOSPHATE DEHYDROGENAS,100
53,1,1,100
54,23.30,23.30,100
55,10010709,10010709,100
56,GLUCOSE-G-PHOSPHATE DEHYDROGENAS,GLUCOSE-G-PHOSPHATE DEHYDROGENAS,100
57,23.30,23.30,100
58,10019326,10019326,100
59,VARICELLA-ZOSTER IGG AB,VARICELLA-ZOSTERIGGAB,95
60,43.80,43.80,100
61,10024120,10024120,100
62,CYTOMEGALOVIRUS IGM AB,CYTOMEGALOVIRUS IGMAB,98
63,1,1,100
64,54.00,54.00,100
65,10025806,10025806,100
66,ANTIBODY TITRATIN SALINE,ANTIBODY TITRATIN SALINE,100
67,2,2,100
68,86.40,86.40,100
69,10030509,10030509,100
70,VDRL TEST,VDRL TEST,100
