raw_expect,raw_extracted,sim_score
Singapore,Singapore,100
General Hospital,General Hospital,100
SingHealth,SingHee'th,80
TAX INVOICE,TAX INVOICE,100
ORIGINAL,ORIGINAL,100
GST REG NO : M90368910N,GST REG NO : M90368910N,100
GNUZBA2 / FB / 22.10.2018 1546 hrs / Page 1 of 2,GNUZBA2 / FB / 22.10.2018 1546 hrs / Page 1 of 2,100
Tax Invoice Number:6818337074E0010,Tax Invoice Number:6818337074E0010,100
Bill Ref Number,Bill Ref Number,100
:6818337074E-0010-01,6818337074E-0010-01,97
Tax Invoice Date,Tax Invoice Date,100
:22.10.2018 1546 hrs,:22.10.2018 1546 hrs,100
Patient NRIC/HRN,Patient NRIC/HRN,100
:S,:S,100
l,1,0
SINGAPORE,SINGAPORE,100
Visit Date,Visit Date,100
:22.10.2018 1153 hrs,:22.10.2018 1153 hrs,100
Visit / Bill Location,Visit / Bill Location,100
GCLHAEC/GCLHAEC,GCLHAEC/GCLHAEC/,97
Patient : Kumarsanga,Patient : Kumarsanga,100
HAE,HAE,100
Payment Class,Payment Class,100
:PRIVATE,:PRIVATE,100
Type of Supply,Type of Supply,100
: Cash/Credit,: Cash/Credit,100
SERVICE CODE,SERVICE CODE,100
QUANTITY,QUANTITY,100
AMOUNT(S$),AMOUNT(S$),100
DESCRIPTION,DESCRIPTION,100
LABORATORY INVESTIGATIONS,LABORATORYINVESTIGATIONS,98
Subtotal,Subtotal,100
2296.51,2296.51,100
HLA03074,HLA03074,100
HLA DQB TYPING (PCR INT TO HIGH RES),HLA DQB TYPING (PCR INT TO HIGH RES),100
1,1,100
243.93,243.93,100
HF703102,HF703102,100
HANDLING FEE,HANDLING FEE,100
1,1,100
18.00,18.00,100
HLA09027,HLA09027,100
HLA ABCDR TYPING (SBT) FOR LOCAL TRANSPLANT,HLA ABCDR TYPING (SBT) FOR LOCAL TRANSPLANT,100
1,1,100
885.98,885.98,100
HF703102,HF703102,100
HANDLING FEE,HANDLING FEE,100
18.00,18.00,100
10009606,10009606,100
CREATININE CLEARANCE TEST (CCT),CREATININE CLEARANCE TEST (CCT),100
24.90,24.90,100
10010709,10010709,100
GLUCOSE-6-PHOSPHATE DEHYDROGENAS,GLUCOSE-6-PHOSPHATE DEHYDROGENAS,100
1,1,100
23.30,23.30,100
10010709,10010709,100
GLUCOSE-G-PHOSPHATE DEHYDROGENAS,GLUCOSE-G-PHOSPHATE DEHYDROGENAS,100
23.30,23.30,100
10019326,10019326,100
VARICELLA-ZOSTER IGG AB,VARICELLA-ZOSTERIGGAB,95
43.80,43.80,100
10024120,10024120,100
CYTOMEGALOVIRUS IGM AB,CYTOMEGALOVIRUS IGMAB,98
1,1,100
54.00,54.00,100
10025806,10025806,100
ANTIBODY TITRATIN SALINE,ANTIBODY TITRATIN SALINE,100
2,2,100
86.40,86.40,100
10030509,10030509,100
VDRL TEST,VDRL TEST,100
38.70,38.70,100
10033603,10033603,100
HEPATITIS B SURFACE ANTIGEN (HBS),HEPATITIS B SURFACE ANTIGEN (HBS),100
1,1,100
28.70,28.70,100
10033647,10033647,100
HEPATITIS C ANTIBODY,HEPATITIS C ANTIBODY,100
1,1,100
50.20,50.20,100
11007650,11007650,100
VNTR ANALYSIS,VNTR ANALYSIS,100
1,1,100
297.80,297.80,100
1Z70213002,1Z70213002,100
ZIKA VIRUS PCR,ZIKA VIRUS PCR,100
150.00,150.00,100
22002309,22002309,100
HIV SCREEN~,HIV SCREEN~,100
37.80,37.80,100
70205046,70205046,100
HEPATITIS B CORE TOTAL AB,HEPATITIS B CORE TOTAL AB,100
53.90,53.90,100
70205050,70205050,100
CYTOMEGALOVIRUS IGG AB EIA,CYTOMEGALOVIRUS IGG AB EIA,100
41.10,41.10,100
70205065,70205065,100
HTLV I/II ANTIBODY,HTLV /II ANTIBODY,97
103.90,103.90,100
ABO,ABO,100
ABO AND RHO TYPING,ABO AND RHO TYPING,100
2,2,100
72.80,72.80,100
Subtotal Charges,Subtotal Charges,100
2296.51,2296.51,100
Total Charges Fayable,Total Charges Fayable,100
2296.51,2296.51,100
 AMOUNT PAYABLE BEFORE TAX, AMOUNT PAYABLE BEFORE TAX,100
2296.51,"2296,51",86
ADD : 7% GST,ADD : 7% GST,100
160.77,160.77,100
AMOUNT PAYABLE AFTER TAX,AMOUNT PAYABLE AFTER TAX,100
2457.28,2457.28,100
RECEVED,RECEVED,100
NET AMOUNT PAYABLE,NET AMOUNT PAYABLE,100
2457.28,2457.28,100
2457.28,2457.28,100
2 8 NOV 2018,2 8 NOV 2018,100
PAYMENT,PAYMENT,100
0.00,0.00,100
AMOUNT DUE FROM,AMOUNT DUE FROM,100
2457.28,2457.28,100
You are serVed by ZAWIYAH BINTE ABUDULLAH **,You are serVed by ZAWIYAH BINTE ABUDULLAH **,100
Singapore General Hospital,Singapore General Hospital,100
"Outram Road, Singapore 169608 Tel:6222 3322","Outram Road, Singapore 169608 Tel:6222 3322",100
http://www.sgh.com.sg Reg No 198703907 Z,http://www.sgh.com.sg Reg No 198703907 Z,100
3008-23-005-A (OCT 2014),3008-23-005-A (OCT 2014),100
,AVG SIM SCORE,98.8
