,raw_expect,raw_extracted,sim_score
1,Singapore,Singapore,100
2,General Hospital,General Hospital,100
3,SingHealth,SingHee'th,80
4,TAX INVOICE,TAX INVOICE,100
5,ORIGINAL,ORIGINAL,100
6,GST REG NO : M90368910N,GST REG NO : M90368910N,100
7,GNUZBA2 / FB / 22.10.2018 1546 hrs / Page 1 of 2,GNUZBA2 / FB / 22.10.2018 1546 hrs / Page 1 of 2,100
8,Tax Invoice Number:6818337074E0010,Tax Invoice Number:6818337074E0010,100
9,Bill Ref Number,Bill Ref Number,100
10,:6818337074E-0010-01,6818337074E-0010-01,97
11,Tax Invoice Date,Tax Invoice Date,100
12,:22.10.2018 1546 hrs,:22.10.2018 1546 hrs,100
13,Patient NRIC/HRN,Patient NRIC/HRN,100
14,:S,:S,100
15,l,1,0
16,SINGAPORE,SINGAPORE,100
17,Visit Date,Visit Date,100
18,:22.10.2018 1153 hrs,:22.10.2018 1153 hrs,100
19,Visit / Bill Location,Visit / Bill Location,100
20,GCLHAEC/GCLHAEC,GCLHAEC/GCLHAEC/,97
21,Patient : Kumarsanga,Patient : Kumarsanga,100
22,HAE,HAE,100
23,Payment Class,Payment Class,100
24,:PRIVATE,:PRIVATE,100
25,Type of Supply,Type of Supply,100
26,: Cash/Credit,: Cash/Credit,100
27,SERVICE CODE,SERVICE CODE,100
28,QUANTITY,QUANTITY,100
29,AMOUNT(S$),AMOUNT(S$),100
30,DESCRIPTION,DESCRIPTION,100
31,LABORATORY INVESTIGATIONS,LABORATORYINVESTIGATIONS,98
32,Subtotal,Subtotal,100
33,2296.51,2296.51,100
34,HLA03074,HLA03074,100
35,HLA DQB TYPING (PCR INT TO HIGH RES),HLA DQB TYPING (PCR INT TO HIGH RES),100
36,1,1,100
37,243.93,243.93,100
38,HF703102,HF703102,100
39,HANDLING FEE,HANDLING FEE,100
40,1,1,100
41,18.00,18.00,100
42,HLA09027,HLA09027,100
43,HLA ABCDR TYPING (SBT) FOR LOCAL TRANSPLANT,HLA ABCDR TYPING (SBT) FOR LOCAL TRANSPLANT,100
44,1,1,100
45,885.98,885.98,100
46,HF703102,HF703102,100
47,HANDLING FEE,HANDLING FEE,100
48,18.00,18.00,100
49,10009606,10009606,100
50,CREATININE CLEARANCE TEST (CCT),CREATININE CLEARANCE TEST (CCT),100
51,24.90,24.90,100
52,10010709,10010709,100
53,GLUCOSE-6-PHOSPHATE DEHYDROGENAS,GLUCOSE-6-PHOSPHATE DEHYDROGENAS,100
54,1,1,100
55,23.30,23.30,100
56,10010709,10010709,100
57,GLUCOSE-G-PHOSPHATE DEHYDROGENAS,GLUCOSE-G-PHOSPHATE DEHYDROGENAS,100
58,23.30,23.30,100
59,10019326,10019326,100
60,VARICELLA-ZOSTER IGG AB,VARICELLA-ZOSTERIGGAB,95
61,43.80,43.80,100
62,10024120,10024120,100
63,CYTOMEGALOVIRUS IGM AB,CYTOMEGALOVIRUS IGMAB,98
64,1,1,100
65,54.00,54.00,100
66,10025806,10025806,100
67,ANTIBODY TITRATIN SALINE,ANTIBODY TITRATIN SALINE,100
68,2,2,100
69,86.40,86.40,100
70,10030509,10030509,100
71,VDRL TEST,VDRL TEST,100
72,38.70,38.70,100
73,10033603,10033603,100
74,HEPATITIS B SURFACE ANTIGEN (HBS),HEPATITIS B SURFACE ANTIGEN (HBS),100
75,1,1,100
76,28.70,28.70,100
77,10033647,10033647,100
78,HEPATITIS C ANTIBODY,HEPATITIS C ANTIBODY,100
79,1,1,100
80,50.20,50.20,100
81,11007650,11007650,100
82,VNTR ANALYSIS,VNTR ANALYSIS,100
83,1,1,100
84,297.80,297.80,100
85,1Z70213002,1Z70213002,100
86,ZIKA VIRUS PCR,ZIKA VIRUS PCR,100
87,150.00,150.00,100
88,22002309,22002309,100
89,HIV SCREEN~,HIV SCREEN~,100
90,37.80,37.80,100
91,70205046,70205046,100
92,HEPATITIS B CORE TOTAL AB,HEPATITIS B CORE TOTAL AB,100
93,53.90,53.90,100
94,70205050,70205050,100
95,CYTOMEGALOVIRUS IGG AB EIA,CYTOMEGALOVIRUS IGG AB EIA,100
96,41.10,41.10,100
97,70205065,70205065,100
98,HTLV I/II ANTIBODY,HTLV /II ANTIBODY,97
99,103.90,103.90,100
100,ABO,ABO,100
101,ABO AND RHO TYPING,ABO AND RHO TYPING,100
102,2,2,100
103,72.80,72.80,100
104,Subtotal Charges,Subtotal Charges,100
105,2296.51,2296.51,100
106,Total Charges Fayable,Total Charges Fayable,100
107,2296.51,2296.51,100
108, AMOUNT PAYABLE BEFORE TAX, AMOUNT PAYABLE BEFORE TAX,100
109,2296.51,"2296,51",86
110,ADD : 7% GST,ADD : 7% GST,100
111,160.77,160.77,100
112,AMOUNT PAYABLE AFTER TAX,AMOUNT PAYABLE AFTER TAX,100
113,2457.28,2457.28,100
114,RECEVED,RECEVED,100
115,NET AMOUNT PAYABLE,NET AMOUNT PAYABLE,100
116,2457.28,2457.28,100
117,2457.28,2457.28,100
118,2 8 NOV 2018,2 8 NOV 2018,100
119,PAYMENT,PAYMENT,100
120,0.00,0.00,100
121,AMOUNT DUE FROM,AMOUNT DUE FROM,100
122,2457.28,2457.28,100
123,You are serVed by ZAWIYAH BINTE ABUDULLAH **,You are serVed by ZAWIYAH BINTE ABUDULLAH **,100
124,Singapore General Hospital,Singapore General Hospital,100
125,"Outram Road, Singapore 169608 Tel:6222 3322","Outram Road, Singapore 169608 Tel:6222 3322",100
126,http://www.sgh.com.sg Reg No 198703907 Z,http://www.sgh.com.sg Reg No 198703907 Z,100
127,3008-23-005-A (OCT 2014),3008-23-005-A (OCT 2014),100
